Data,Ano,Mes,NumeroMes,MesAno,Trimestre,Semana,Dia,DiaSemana,NomeDiaSemana,DiaUtil,FimSemana,InicioMes,FimMes
2025-06-30,2025,Junho,6,2025-06,Q2,27,30,0,Segunda,True,False,False,True
2025-07-01,2025,Julho,7,2025-07,Q3,27,1,1,Terça,True,False,True,False
2025-07-02,2025,Julho,7,2025-07,Q3,27,2,2,Quarta,True,False,False,False
2025-07-03,2025,Julho,7,2025-07,Q3,27,3,3,Quinta,True,False,False,False
2025-07-04,2025,Julho,7,2025-07,Q3,27,4,4,Sexta,True,False,False,False
2025-07-05,2025,Julho,7,2025-07,Q3,27,5,5,Sábado,False,True,False,False
2025-07-06,2025,Julho,7,2025-07,Q3,27,6,6,Domingo,False,True,False,False
2025-07-07,2025,Julho,7,2025-07,Q3,28,7,0,Segunda,True,False,False,False
2025-07-08,2025,Julho,7,2025-07,Q3,28,8,1,Terça,True,False,False,False
2025-07-09,2025,Julho,7,2025-07,Q3,28,9,2,Quarta,True,False,False,False
2025-07-10,2025,Julho,7,2025-07,Q3,28,10,3,Quinta,True,False,False,False
2025-07-11,2025,Julho,7,2025-07,Q3,28,11,4,Sexta,True,False,False,False
2025-07-12,2025,Julho,7,2025-07,Q3,28,12,5,Sábado,False,True,False,False
2025-07-13,2025,Julho,7,2025-07,Q3,28,13,6,Domingo,False,True,False,False
2025-07-14,2025,Julho,7,2025-07,Q3,29,14,0,Segunda,True,False,False,False
2025-07-15,2025,Julho,7,2025-07,Q3,29,15,1,Terça,True,False,False,False
2025-07-16,2025,Julho,7,2025-07,Q3,29,16,2,Quarta,True,False,False,False
2025-07-17,2025,Julho,7,2025-07,Q3,29,17,3,Quinta,True,False,False,False
2025-07-18,2025,Julho,7,2025-07,Q3,29,18,4,Sexta,True,False,False,False
2025-07-19,2025,Julho,7,2025-07,Q3,29,19,5,Sábado,False,True,False,False
2025-07-20,2025,Julho,7,2025-07,Q3,29,20,6,Domingo,False,True,False,False
2025-07-21,2025,Julho,7,2025-07,Q3,30,21,0,Segunda,True,False,False,False
2025-07-22,2025,Julho,7,2025-07,Q3,30,22,1,Terça,True,False,False,False
2025-07-23,2025,Julho,7,2025-07,Q3,30,23,2,Quarta,True,False,False,False
2025-07-24,2025,Julho,7,2025-07,Q3,30,24,3,Quinta,True,False,False,False
2025-07-25,2025,Julho,7,2025-07,Q3,30,25,4,Sexta,True,False,False,False
2025-07-26,2025,Julho,7,2025-07,Q3,30,26,5,Sábado,False,True,False,False
2025-07-27,2025,Julho,7,2025-07,Q3,30,27,6,Domingo,False,True,False,False
2025-07-28,2025,Julho,7,2025-07,Q3,31,28,0,Segunda,True,False,False,False
2025-07-29,2025,Julho,7,2025-07,Q3,31,29,1,Terça,True,False,False,False
2025-07-30,2025,Julho,7,2025-07,Q3,31,30,2,Quarta,True,False,False,False
2025-07-31,2025,Julho,7,2025-07,Q3,31,31,3,Quinta,True,False,False,True
2025-08-01,2025,Agosto,8,2025-08,Q3,31,1,4,Sexta,True,False,True,False
2025-08-02,2025,Agosto,8,2025-08,Q3,31,2,5,Sábado,False,True,False,False
2025-08-03,2025,Agosto,8,2025-08,Q3,31,3,6,Domingo,False,True,False,False
2025-08-04,2025,Agosto,8,2025-08,Q3,32,4,0,Segunda,True,False,False,False
2025-08-05,2025,Agosto,8,2025-08,Q3,32,5,1,Terça,True,False,False,False
2025-08-06,2025,Agosto,8,2025-08,Q3,32,6,2,Quarta,True,False,False,False
2025-08-07,2025,Agosto,8,2025-08,Q3,32,7,3,Quinta,True,False,False,False
2025-08-08,2025,Agosto,8,2025-08,Q3,32,8,4,Sexta,True,False,False,False
2025-08-09,2025,Agosto,8,2025-08,Q3,32,9,5,Sábado,False,True,False,False
2025-08-10,2025,Agosto,8,2025-08,Q3,32,10,6,Domingo,False,True,False,False
2025-08-11,2025,Agosto,8,2025-08,Q3,33,11,0,Segunda,True,False,False,False
2025-08-12,2025,Agosto,8,2025-08,Q3,33,12,1,Terça,True,False,False,False
2025-08-13,2025,Agosto,8,2025-08,Q3,33,13,2,Quarta,True,False,False,False
2025-08-14,2025,Agosto,8,2025-08,Q3,33,14,3,Quinta,True,False,False,False
2025-08-15,2025,Agosto,8,2025-08,Q3,33,15,4,Sexta,True,False,False,False
2025-08-16,2025,Agosto,8,2025-08,Q3,33,16,5,Sábado,False,True,False,False
2025-08-17,2025,Agosto,8,2025-08,Q3,33,17,6,Domingo,False,True,False,False
2025-08-18,2025,Agosto,8,2025-08,Q3,34,18,0,Segunda,True,False,False,False
2025-08-19,2025,Agosto,8,2025-08,Q3,34,19,1,Terça,True,False,False,False
2025-08-20,2025,Agosto,8,2025-08,Q3,34,20,2,Quarta,True,False,False,False
2025-08-21,2025,Agosto,8,2025-08,Q3,34,21,3,Quinta,True,False,False,False
2025-08-22,2025,Agosto,8,2025-08,Q3,34,22,4,Sexta,True,False,False,False
2025-08-23,2025,Agosto,8,2025-08,Q3,34,23,5,Sábado,False,True,False,False
2025-08-24,2025,Agosto,8,2025-08,Q3,34,24,6,Domingo,False,True,False,False
2025-08-25,2025,Agosto,8,2025-08,Q3,35,25,0,Segunda,True,False,False,False
2025-08-26,2025,Agosto,8,2025-08,Q3,35,26,1,Terça,True,False,False,False
2025-08-27,2025,Agosto,8,2025-08,Q3,35,27,2,Quarta,True,False,False,False
2025-08-28,2025,Agosto,8,2025-08,Q3,35,28,3,Quinta,True,False,False,False
2025-08-29,2025,Agosto,8,2025-08,Q3,35,29,4,Sexta,True,False,False,False
2025-08-30,2025,Agosto,8,2025-08,Q3,35,30,5,Sábado,False,True,False,False
2025-08-31,2025,Agosto,8,2025-08,Q3,35,31,6,Domingo,False,True,False,True
2025-09-01,2025,Setembro,9,2025-09,Q3,36,1,0,Segunda,True,False,True,False
2025-09-02,2025,Setembro,9,2025-09,Q3,36,2,1,Terça,True,False,False,False
2025-09-03,2025,Setembro,9,2025-09,Q3,36,3,2,Quarta,True,False,False,False
2025-09-04,2025,Setembro,9,2025-09,Q3,36,4,3,Quinta,True,False,False,False
2025-09-05,2025,Setembro,9,2025-09,Q3,36,5,4,Sexta,True,False,False,False
2025-09-06,2025,Setembro,9,2025-09,Q3,36,6,5,Sábado,False,True,False,False
2025-09-07,2025,Setembro,9,2025-09,Q3,36,7,6,Domingo,False,True,False,False
2025-09-08,2025,Setembro,9,2025-09,Q3,37,8,0,Segunda,True,False,False,False
2025-09-09,2025,Setembro,9,2025-09,Q3,37,9,1,Terça,True,False,False,False
2025-09-10,2025,Setembro,9,2025-09,Q3,37,10,2,Quarta,True,False,False,False
2025-09-11,2025,Setembro,9,2025-09,Q3,37,11,3,Quinta,True,False,False,False
2025-09-12,2025,Setembro,9,2025-09,Q3,37,12,4,Sexta,True,False,False,False
2025-09-13,2025,Setembro,9,2025-09,Q3,37,13,5,Sábado,False,True,False,False
2025-09-14,2025,Setembro,9,2025-09,Q3,37,14,6,Domingo,False,True,False,False
2025-09-15,2025,Setembro,9,2025-09,Q3,38,15,0,Segunda,True,False,False,False
2025-09-16,2025,Setembro,9,2025-09,Q3,38,16,1,Terça,True,False,False,False
2025-09-17,2025,Setembro,9,2025-09,Q3,38,17,2,Quarta,True,False,False,False
2025-09-18,2025,Setembro,9,2025-09,Q3,38,18,3,Quinta,True,False,False,False
2025-09-19,2025,Setembro,9,2025-09,Q3,38,19,4,Sexta,True,False,False,False
2025-09-20,2025,Setembro,9,2025-09,Q3,38,20,5,Sábado,False,True,False,False
2025-09-21,2025,Setembro,9,2025-09,Q3,38,21,6,Domingo,False,True,False,False
2025-09-22,2025,Setembro,9,2025-09,Q3,39,22,0,Segunda,True,False,False,False
2025-09-23,2025,Setembro,9,2025-09,Q3,39,23,1,Terça,True,False,False,False
2025-09-24,2025,Setembro,9,2025-09,Q3,39,24,2,Quarta,True,False,False,False
2025-09-25,2025,Setembro,9,2025-09,Q3,39,25,3,Quinta,True,False,False,False
2025-09-26,2025,Setembro,9,2025-09,Q3,39,26,4,Sexta,True,False,False,False
2025-09-27,2025,Setembro,9,2025-09,Q3,39,27,5,Sábado,False,True,False,False
2025-09-28,2025,Setembro,9,2025-09,Q3,39,28,6,Domingo,False,True,False,False
2025-09-29,2025,Setembro,9,2025-09,Q3,40,29,0,Segunda,True,False,False,False
2025-09-30,2025,Setembro,9,2025-09,Q3,40,30,1,Terça,True,False,False,True
2025-10-01,2025,Outubro,10,2025-10,Q4,40,1,2,Quarta,True,False,True,False
2025-10-02,2025,Outubro,10,2025-10,Q4,40,2,3,Quinta,True,False,False,False
2025-10-03,2025,Outubro,10,2025-10,Q4,40,3,4,Sexta,True,False,False,False
2025-10-04,2025,Outubro,10,2025-10,Q4,40,4,5,Sábado,False,True,False,False
2025-10-05,2025,Outubro,10,2025-10,Q4,40,5,6,Domingo,False,True,False,False
2025-10-06,2025,Outubro,10,2025-10,Q4,41,6,0,Segunda,True,False,False,False
2025-10-07,2025,Outubro,10,2025-10,Q4,41,7,1,Terça,True,False,False,False
2025-10-08,2025,Outubro,10,2025-10,Q4,41,8,2,Quarta,True,False,False,False
2025-10-09,2025,Outubro,10,2025-10,Q4,41,9,3,Quinta,True,False,False,False
2025-10-10,2025,Outubro,10,2025-10,Q4,41,10,4,Sexta,True,False,False,False
2025-10-11,2025,Outubro,10,2025-10,Q4,41,11,5,Sábado,False,True,False,False
2025-10-12,2025,Outubro,10,2025-10,Q4,41,12,6,Domingo,False,True,False,False
2025-10-13,2025,Outubro,10,2025-10,Q4,42,13,0,Segunda,True,False,False,False
2025-10-14,2025,Outubro,10,2025-10,Q4,42,14,1,Terça,True,False,False,False
2025-10-15,2025,Outubro,10,2025-10,Q4,42,15,2,Quarta,True,False,False,False
